varname,projectid
secondlitter,2
secondnumber,2
seconds playing,2
seconds survived:,2
secret mate:,2
sede,2
see,2
seen enemy?,2
seenpainting,2
segunda carta,2
segundo n??mero,2
segundonum,2
sekunda,2
sel_item,2
select 2,2
select 3,2
select:var,2
selected ball,2
selected building,2
selected building2,2
selectorscrollx,2
"self mode,",2
sell - #,2
sense #,2
sensitivity?,2
sentences,2
seperated items,2
ser,2
servicecharges,2
set # of hits,2
set age to,2
set by,2
set color,2
set fall,2
set fire off on everything,2
set jump,2
set level,2
set lives,2
set name to,2
set time,2
set timer,2
set1,2
set?,2
set____background,2
setfreeze,2
setid,2
setting v2,2
settings page,2
settings v1,2
settings window,2
setup,2
setup finished?,2
setup next (whatdo),2
setvisi,2
seven,2
sewer key,2
sh?,2
shakedeg,2
shakeness,2
shakestate,2
shaky,2
shape size,2
shapes,2
shapesize,2
sharj,2
sharkpoint,2
sharks,2
sharkspeed,2
shb points,2
shb time,2
sheets of paper,2
shellcostume,2
shia points,2
shielding,2
shieldtime,2
shieldup,2
shifting?,2
shiplist,2
shipmentuper,2
shirobom hp,2
shockwave cooldown,2
shoot 2,2
shoot fuel,2
shoot ham,2
shoot meter 2,2
shoot meter p1,2
shoot_random_wait,2
shootavail,2
shooters,2
shooting direction,2
shoots,2
shop exit,2
shop id,2
shop input,2
shop item1 gold,2
shop item1 name,2
shop item2 gold,2
shop item2 name,2
shop select,2
shop:,2
shopavaliable,2
shopbutton,2
shopdesc,2
shoppage,2
shoppricetiers,2
shot output,2
shot x,2
shot y,2
shot=,2
shots fired !,2
shotspd1,2
shotspd2,2
shotwait,2
should defence shop be on?,2
should neutros plus! install?,2
should resorce shop be on?,2
shouldbe,2
shovel,2
shovel?,2
show buildings?,2
show fen,2
show url bar?,2
show_stats,2
showing follow,2
showing!!!,2
showinghelp,2
showletter,2
shown 2,2
shown help,2
shown info,2
shp,2
shrek?,2
shulk le monado boi - player,2
shuriken?,2
shut down notify active,2
sickness,2
sida,2
side b variable,2
side movement,2
sight,2
sign location,2
signed up:,2
signvar_var,2
silver buttons,2
sim ou n??o,2
sin anglesize,2
sin??,2
sing,2
singing,2
single move?,2
single player,2
sinx,2
sipcoins mined,2
siren,2
sirius,2
sith health,2
sith slash,2
sittingcat location,2
six,2
size change,2
size controller player,2
size player,2
"size, when i say size i mean like its going smaller, know what i mean? :)",2
sizeofcat,2
skelepoundarmlsprite,2
skelepoundarmrsprite,2
skelepoundbodysprite,2
skelepoundheadsprite,2
skelepoundleglsprite,2
skelepoundlegrsprite,2
skeleton,2
skeleton luck,2
skeletron health,2
skill damage,2
skill points,2
skill xy,2
skills ctime,2
skin color,2
skin tone,2
skin#,2
skins,2
skipped,2
skirt,2
skr??t,2
skrillex,2
skud,2
skype mesages,2
slash,2
slash_type,2
slaves freed,2
slb health,2
slb score,2
slb speed,2
sled rot,2
sliced?,2
slices,2
slide#,2
slide++,2
slider,2
sliiide,2
slopes,2
slots to be updated,2
slown,2
slowness,2
small platform hp,2
smart,2
smashed,2
smhp,2
smobuy,2
smoonspinspeeds,2
snake_actual_length,2
snake_final_length,2
snap,2
snappy hp,2
snelheit,2
snitches caught,2
snitchiscaught,2
snowflake,2
snowman health,2
snowpeax,2
snowpeay,2
snowsquest,2
soccer ball falling,2
soil post-moisture reading,2
soil pre-moisture reading,2
soil required moisture level,2
sokinejimas,2
solid 2,2
solution,2
solved,2
soma,2
sommen,2
song numeber,2
song playing,2
song type,2
song#,2
songlength,2
sonic health,2
sonic mario,2
sonic sp,2
sonicchase,2
sonido,2
sorce,2
sore,2
sorted,2
sorted list,2
sorted points,2
sorting,2
sou??et,2
soul color,2
soul health,2
soul mode,2
soul moving,2
sound on,2
sound playing,2
sound ready?,2
sound set,2
sound1,2
sound2,2
sound3,2
soundfactor,2
soundofset,2
soundon?,2
soundson,2
soundtoggler,2
south,2
sp #,2
sp attack=,2
sp(goten),2
sp3,2
sp?,2
spa,2
space check,2
space points,2
space presses 0-1,2
space ship,2
space spammed?,2
spacebar,2
spaceclicked?,2
spaceforintro,2
spaceship health,2
spaghetti,2
sparesay,2
sparkles score,2
spawn speed,2
spawnrate,2
spazx,2
spazy,2
spd1,2
spd2,2
spdball,2
spddown1,2
spddown2,2
spdup1,2
spdup2,2
speach,2
spead,2
speak,2
specammo,2
special fire,2
special power,2
special2,2
special_anims (anim),2
spedbuy,2
speech var,2
speed \/ snelheid,2
speed controller,2
speed difficulty,2
speed for teemann,2
speed ground,2
speed of ball,2
speed p1,2
speed p2,2
speed tri,2
speed x block,2
speed y 2,2
speed-display,2
speed-limit,2
speed4,2
speed:,2
speedchange,2
speedlevel,2
speedtype,2
speedwitch_left,2
speedwitch_right,2
speedy unlocked,2
spelare 1,2
spelare 2,2
spellanimcheck,2
sperre,2
spider,2
spider health,2
spider zombie health,2
spikes,2
spin attack,2
spin jump,2
spin1,2
spin: dir,2
spin: direction,2
spin: score,2
spin: speed,2
spin: t#mp,2
spin?,2
spining,2
spinspeedfactors,2
spl??tka,2
splat-on,2
splatka,2
splats,2
splatted platter,2
split chat,2
split command,2
split parse counter,2
splitl,2
splitresult,2
splitter,2
splode,2
splosh,2
sports,2
spotlight?,2
spotted,2
spouse,2
spr??vn??,2
spree,2
spring yv,2
springtrap a.i,2
springtrap ai,2
springtrap position,2
sprint,2
sprinting(yes\/no),2
sprite 1 score,2
sprite 2 score,2
sprite 3,2
sprite 4,2
sprite 9,2
sprite x,2
sprite y,2
sprite13,2
sprite22,2
sprite4,2
spritecount,2
spritenum,2
spritetouch,2
spritey,2
squadhp,2
square contents,2
square coordinates,2
square size,2
squaredyears,2
squareroot,2
squares (requires 6),2
squid energy,2
squid strage,2
squished,2
sr,2
ss vegeta,2
ssj2,2
ssped,2
st health,2
stacks,2
staffselected,2
stage changing,2
stage completed,2
stage select,2
stagemap,2
stages,2
stahp,2
stairs number,2
stalled?,2
stamina1,2
stamina2,2
stampvisible,2
standard run of the mill variable solely used for iteration,2
star class,2
star data,2
star points,2
stare,2
starfield x~,2
starfield z~,2
starfish,2
starfruit move,2
starfruit stop,2
starin unlocked,2
starlings,2
stars x,2
stars y,2
stars:,2
start boolean,2
start dir,2
start loccation,2
start menu?,2
start score,2
start screen,2
start stat,2
start the derby,2
start timer,2
start.opened?,2
start.programs.hover?,2
start_y,2
startangle,2
startcounter,2
startd,2
startdrawposition,2
starter,2
starters,2
startpause,2
startposx,2
startposy,2
startpulsing,2
starts,2
startscreen,2
startshade,2
starttimes,2
stat item,2
stat level,2
stat ling,2
state?,2
static_end,2
stationdesign,2
stats and such,2
stats#,2
stats1,2
stats2,2
stats3,2
status_page,2
status_val,2
stealth_,2
steam lever,2
steam-gas,2
steam?,2
steep,2
step (1 or 2),2
step duration,2
step inc,2
step length,2
stepcount,2
stepcounter,2
steph curry,2
stepincsetting,2
steps2,2
sterne,2
stevec,2
stevonnie,2
stgsypl,2
stickers,2
stickfadespeed,2
stickfadetimer,2
stickman,2
stickrandom,2
stickupgrade,2
sticky,2
still counting,2
stocks,2
stone?,2
stop 10,2
stop 11,2
stop 12,2
stop 13,2
stop 14,2
stop 15,2
stop 16,2
stop 17,2
stop 4,2
stop 5,2
stop 6,2
stop 7,2
stop 8,2
stop 9,2
stop all,2
stop all scripts,2
stop deedee's music,2
stop fall,2
stop fishing music,2
stop intro music,2
stop jamanak,2
stop jump,2
stop moving freddy & fredbear (intro),2
stop music intro 2,2
stop overworld music,2
stop switch costumes start button,2
stop walking,2
stop3,2
stop4,2
stop5,2
stop_the_loop,2
stopload,2
stopmusic,2
stopper,2
stopperid,2
stopping?,2
stoprun,2
stopstarttime,2
stoptime,2
stoptimer,2
store nof,2
store v1,2
store v2,2
store?,2
stored dark elixer1,2
stored elixer1,2
stored gold1,2
stormpaw's health,2
story mode = acsess?,2
storyline progression,2
stranger health,2
stranica,2
strc,2
strike out,2
string2,2
stripe1done?,2
strz,2
sts,2
stuck,2
stuck in ground?,2
stuffcount,2
stunned? (state),2
stupid # of archer towers,2
stupid # of cannons,2
sub,2
subject,2
subs,2
subs per sec,2
subtitles?,2
subtract,2
subtraction,2
succesfulrun?,2
suffocate,2
sugilite,2
sum over weight,2
sumoverweight,2
sumuah,2
sumyears,2
sun costume,2
sun size,2
sun temperature (k),2
super bullets,2
super cool text,2
super effective?,2
super protection,2
super sayain,2
super speed,2
superarmor,2
superman health,2
superrare%,2
support,2
support 1,2
support 2,2
supported,2
supporting constant,2
surprise,2
survey,2
survival points,2
survival seconds,2
survivalscore,2
survive,2
survive!,2
survive?,2
survived for,2
svar,2
sw button,2
swap,2
swap?,2
swaps,2
sweep,2
sweets,2
swingdeg,2
switched,2
switched?,2
switchy switchy!,2
sword sword,2
sworiginal,2
syllables,2
system age (millions of years):,2
system speed,2
sz??let??si ??v,2
sz??mok,2
szansa,2
szanse,2
szer,2
szint,2
t 1-1,2
t 1-2,2
t 1-3,2
t 1-4,2
t 1-5,2
t 2-1,2
t 2-2,2
t 2-3,2
t 2-4,2
t 2-5,2
t 3-1,2
t 3-2,2
t 3-3,2
t 3-4,2
t 3-5,2
t-65b x-wing's health,2
t-65b x-wing's shield,2
t-70 x-wing fighter shield,2
t-70 x-wing fighter's health,2
t-rex,2
t-rex health,2
t.a,2
t1hp,2
t2hp,2
t\/f,2
t_old,2
t_vol,2
tab 2 size,2
tab 3 size,2
tab 5 size,2
tab 6 size,2
tab 7 size,2
tab size,2
tab size 4,2
tab#,2
tabla de multiplicar,2
table size,2
tablet apps,2
tabopened,2
tabstate,2
tacky,2
taco,2
tacos!,2
tahgi at door,2
tahgi's cam,2
tahy,2
tail num,2
taimer,2
talk 1,2
talk on,2
talk time,2
talkspeed,2
tally,2
tamanho,2
tamano,2
tankhealth,2
tankhp,2
taps,2
tardis travel,2
target hp,2
target id,2
targetc,2
targetd,2
targetk,2
targeto,2
targets,2
targets shot,2
targetsdown,2
taskai,2
taskbarstart_menustatus,2
tavaraluettelo,2
taxes,2
tb1 health,2
tbuy,2
team 1 score,2
team 2 score,2
team 4,2
team1,2
team2,2
tears,2
techno2,2
teh,2
teleport2,2
teleport_loc,2
teleports,2
teller-namen,2
tem charm,2
tem points:,2
tem smarts,2
tem strength,2
tema,2
temmie flakes,2
temp 1,2
temp 4,2
temp x,2
temp. increase,2
tempdata,2
tempfloor,2
tempo-n,2
temporary time trials,2
temps de la bataille,2
temps restant,2
tempscore,2
tempvar1,2
ten,2
tenda,2
tentativa,2
tera alert?,2
tera y,2
termite,2
terra,2
terrain num,2
terror,2
tervehdys,2
test screen on,2
testfordec,2
testrayhit,2
testscore,2
testy,2
text buffer,2
text editor,2
text.count,2
textediting,2
textlevel,2
textsound,2
texture,2
texture pack,2
tf score,2
tfire,2
tgr2003 words,2
thank you turn,2
that was rhetorical,2
the amount of excess weights,2
"the first victim - er, shipped",2
the kittens,2
the list,2
the number of excess weights,2
the outro variable,2
"the second hostage - i mean, shippee",2
the snowballs,2
theamountofftimesblackyoshihaverippedoffmy360flamekickgogetyourownmovesetm8thatsjusthowitworksnoob,2
theendappear,2
theeriable,2
themachinerclones,2
theo spotted,2
theta1,2
thevariable,2
things kyle can say,2
thingtosay,2
thinking...,2
thirdlitter,2
thor,2
thornman1life,2
thornman2life,2
thornman3life,2
thornman4life,2
throtle,2
throwable,2
throws,2
thrust 2,2
thrust 3,2
thumbnail y vel,2
thumbs up,2
tick removed,2
tie games,2
tie health,2
tie x,2
tie x 2,2
tie x 3,2
tie y,2
tie y 2,2
tie y 3,2
tiempo 2,2
tiger,2
tijd:,2
tile # of screen x,2
tile # of screen y,2
tile # of x,2
tile # of y,2
tile list,2
tile scroll,2
tile x move,2
tile x width,2
tile y move,2
tile y width,2
tile#1 x default,2
tile#1 y default,2
tile_set,2
tilesize,2
tilt??,2
tiltang,2
tim,2
tim#,2
timantti_mukana,2
time (ccatch),2
time (minutes),2
time (sec),2
time 1,2
time ?????????,2
time alive:,2
time in level,2
time in seconds,2
time lasted,2
time of day(day\/night),2
time playing,2
time sp,2
time spent,2
time spent driving,2
time step,2
time(0-6min),2
time-h,2
time-m,2
time-s,2
time4,2
time5,2
time: 00:00,2
time_highscore,2
timebetweenghosts,2
timeelapsed,2
timelimit,2
timenow,2
timeold,2
timer button,2
timer for free credits,2
timer on,2
timer started?,2
timer!!,2
timer-x,2
timerulti,2
timerultinet,2
timerultinet2,2
times completed,2
times done,2
times eaten,2
times looped,2
times lost,2
times of bonus chest in chunk,2
times pressed,2
times reborn,2
times table,2
timesincedeath,2
timesplayed,2
timestep,2
timeuntildeal,2
tin e,2
tip rate,2
tipo,2
tipo de aviso,2
tiro,2
tiro_p,2
titan 4,2
titan 5,2
titan eren hp,2
titan hit,2
titan1,2
titan2,2
titan3,2
title floaty thang,2
titlepageshowing,2
tkcs2,2
tm,2
tmeasure8,2
tmeasures,2
tmp2,2
tmpfps,2
tmpo,2
tmt player id,2
tmt var1,2
tmz,2
to,2
to go,2
to sort,2
toca?,2
toggle server,2
toggled count,2
toggles,2
toilet,2
tokens easy,2
tokens hard,2
tokens medium,2
tolerance,2
tools,2
top 5 daily,2
top 5 scores,2
top hit,2
top score,2
top speed,2
top1,2
topcrypt,2
topic,2
topping,2
torch got?,2
tosine,2
total amount of money left,2
total clicks,2
total gems needed fo rowned things,2
total health,2
total inserted,2
total money,2
total number,2
total of 'big' values,2
total of 'small' values,2
total people,2
total stars,2
total sum,2
total2,2
totalmoney,2
totals,2
totalsteps,2
tottime,2
touch 2,2
touchimgleftdown,2
touching boost?,2
touching finish line,2
touching ground?,2
touching mouse?,2
touching obstacle?,2
touching portal,2
touching sp?,2
touching water?,2
touchingceiling,2
touchingleftup,2
touchingrightdown,2
touchingrightup,2
touchingup,2
touchlandspot,2
touchscreen mode?,2
toucingdown,2
toucingright,2
tounge,2
tour bleu,2
tour jaune,2
tournament#,2
tournamentunlock,2
tower,2
tower1hp,2
tower2hp,2
town hall level,2
town hall upgrade cost,2
townhall,2
toy bonnie location,2
toy chica location,2
toy freddy location,2
trade,2
trafienia helikopter,2
trahv,2
trail length,2
trail size,2
trail speed,2
trains,2
traje,2
trans,2
transfer,2
translate,2
transparent,2
transparenz,2
transversal a,2
transversal b,2
trapped,2
tras,2
trash,2
trash picked up,2
travel,2
"tree 1 in chuck(yes,no)",2
tree 2 in chuck(yes\/no),2
tree 3 in chunk(yes\/no),2
tree1.collision(yes\/no),2
tree2.collision(yes\/no),2
tree3.clolision(yes\/no),2
tree?,2
treecount,2
treesshow?,2
trex...gun,2
trial,2
tries left,2
tries to find number,2
tries:,2
triggered,2
trn,2
trolls,2
trophy points,2
trump chose,2
trump temple,2
trust,2
try?,2
trydir,2
tsc1,2
tsc2,2
tsc3,2
tsc4,2
tsp,2
tulos,2
turbohelpshown,2
turn length,2
turn yvel,2
turn_angle,2
turnamount,2
turneffecton,2
turnleft,2
turns?,2
turnstep,2
turret,2
turret health,2
turret1hp,2
turtle,2
tvol,2
twos,2
txarto,2
type chao,2
type of math,2
type of spike,2
type of upgrade cost,2
typec2,2
u\/d,2
udar,2
udarci,2
uf,2
uhhh,2
uhr,2
uhr zeige dich,2
uhurt,2
uko??czenie samouczka,2
umbrella,2
umbreon,2
unbreakable,2
uncles,2
uncleuper,2
underground,2
undo,2
undo end,2
undo patterns,2
undo pos,2
undo start,2
undomax,2
unemployconstant,2
unemployment,2
unemploymentmodifier,2
unknown word found,2
unlock acts,2
unlock+fruits on ground,2
unlocked levels,2
untitled,2
up bounded,2
up bounding constant,2
up down speed,2
up turn frame,2
up+down,2
up2,2
upd,2
update,2
update ready?,2
updating?,2
upforce,2
upgrade list,2
upgrade points,2
upgrade?,2
upgrades_cost,2
upgrades_tier,2
upgradescreenshow,2
upgrading?,2
uploadwhatareweon,2
upordown,2
upstep,2
ur saniks,2
ur score,2
usa,2
use item,2
use time,2
used numbers,2
used words,2
used_memory,2
user 1,2
user 2,2
user 3,2
user 4,2
user 5,2
user and credits,2
user counter,2
user data,2
user level,2
user manes,2
user name,2
user names,2
user number,2
user responce,2
user sequence,2
user status,2
userandomome,2
username checker2,2
usernameticked,2
usernum,2
ustiuckamamkyeouprmonwhnjohutro,2
ut,2
uv,2
uxutyun,2
v 2,2
v10,2
v7,2
v8,2
v9,2
v??itja,2
vader saber throw,2
valeur du lutin (level) a afficher,2
valeurs,2
valid_save,2
validmove,2
valor,2
valor mond. mist,2
value of intro,2
vanish_clonedir,2
vanish_effect,2
vaporeon,2
var 1,2
var 2,2
var_n,2
variable 3,2
variable name,2
variable position,2
variable x,2
variable-y,2
variacio,2
vauhti,2
veces,2
vectordir,2
vectormag,2
vel alas,2
velcutoff,2
veloc. inic.,2
velocidad inicial,2
velocidad x,2
velocitat gat,2
velocitat pales,2
velocitat2,2
velocities,2
velocity_x,2
velocity_y,2
veloctiy,2
veloctiy y,2
veloscity (x),2
veloscity (y),2
velosity,2
velox,2
vent # sealed,2
vent power,2
verification,2
verloren,2
verse,2
version lvl 1,2
version lvl 2,2
version lvl 3,2
version:,2
verticalvelocity,2
vertpoint,2
vi,2
vibrate,2
victoria,2
vida 2,2
vida enemigo 1,2
vida guardia,2
vida pingu dret,2
vida pingu esquerra,2
vida2,2
vidapersonaje1,2
vidapersonaje2,2
vidapersonaje3,2
vidas_mario,2
video time,2
video v1,2
video v2,2
videos,2
vides 2,2
vides j1,2
vides j2,2
vides jugador 1,2
vides jugador 2,2
vie du villageois,2
vies de pixel jordan,2
vies de pixel raphael,2
viewdistance,2
viewed?,2
viewin gdta file,2
viewing#,2
vigo spotted,2
villagelayout,2
vip,2
vir_hard_disk_c,2
viral vids,2
virtual desktops,2
virus closed,2
virus state,2
viruses,2
visualizer y pos,2
vitapc,2
vlist,2
vm,2
vol stat,2
voltes,2
volume music,2
volume sound effects,2
volumescroll,2
vorheriges y,2
vote!,2
votes for picos,2
votes total,2
voto,2
vt,2
vtk1platz,2
vtk2platz,2
vuelta 2,2
vx1,2
vx2,2
vy1,2
vy2,2
w2,2
w3,2
w4,2
w5,2
w6,2
w7,2
w8,2
w\/win,2
wad,2
wages,2
wait a bit,2
wait2,2
waitillum,2
waiting?,2
waitingtimebeforeshot,2
waittime2,2
walk down,2
walk pos,2
walk up,2
walking costume,2
walksprite,2
wall jump?,2
wall nut loaded?,2
wall nut shot?,2
wall nut type,2
wall of flesh health,2
wall-hit,2
wall_stopl,2
wall_stopr,2
wallamount,2
wallclonex,2
wallcloney,2
walljumps,2
walltouch,2
wand\/name,2
wannahide?msg,2
wantedlevel,2
war,2
wark,2
wark2,2
wark3,2
warmth,2
warp drive on,2
warp drive?,2
warp tile,2
warp_costume,2
warrior 1,2
warrior 2,2
warrior 3,2
warrior 4,2
warrior 5,2
warrior cat names,2
warrior points,2
was guess right,2
wastednorepeat,2
watcha say?,2
water health,2
watermelon direction,2
watermelon health,2
watermelons,2
wave ampl,2
wave count,2
wave#,2
wavenemie#,2
wavenumber,2
waves,2
wavespritenumber,2
wbtg3,2
weapon #,2
weapon bonus hit,2
weapon bonus might,2
weapon ids,2
weapon list,2
weapon pick up,2
weapon:,2
weapon_id,2
weaponno,2
weaponsammo,2
weaponsbulletdamage,2
weaponsbulletdistance,2
weaponsbulletreclip,2
weaponsbulletspeed,2
weaponscreen,2
weaponsecs,2
weapontype,2
web,2
weegeetimer,2
weight in kg,2
weird,2
wepon,2
west,2
wfspace,2
what am i upgrading?,2
what ever,2
what help,2
what number,2
what to do,2
what you bought,2
when stage clicked,2
where block to go,2
where i go,2
where to go?,2
wherebtg2,2
wherei'mgoingto,2
wherner hits,2
which player,2
which?,2
whichfloor?,2
whichfruit?,2
white health,2
white score,2
white.health,2
whitedwarfghost,2
who,2
who are you?,2
who is on the mountain right now?,2
whoooooo,2
whoseturn,2
whowins,2
whua,2
wickets ,2
wideness,2
widgets on\/off,2
wifi access,2
wificosts,2
wily beat,2
win2,2
win\/lose,2
wincount,2
windforce,2
windpower,2
windspeed,2
wing num,2
winner?,2
winning,2
winning numbers,2
winnings,2
wins:,2
wipeouts,2
witches score,2
witherd bonnie health,2
wiz health,2
wizard mps,2
wizard price,2
wizard score,2
wkingmoved,2
wobble,2
wolf,2
wolfcostume,2
wongame,2
wood clicked,2
wooden sword,2
woof bark,2
word #,2
word convert process,2
word in letters2,2
word in numbers list,2
word l,2
word marker,2
word open?,2
wordmarker,2
words parsed,2
workbench.collision(yes\/no),2
workforce,2
world record,2
worldmap,2
worth,2
wpnlock,2
wrdsfkj,2
writecounter,2
writteninputlength,2
wrong answer,2
wrong!,2
wrongys,2
wrp,2
ws,2
ws falling speed,2
wurdz,2
x coordinate,2
x dir,2
x edit,2
x edit vel,2
x location,2
x min,2
x momentum,2
x motion,2
x p1,2
x p2,2
x scrolling speed,2
x target,2
x velocidad,2
x velosity,2
x vol,2
x volocity,2
x-balio,2
x-cord,2
x-memory,2
x-offset,2
x-points,2
x-pos,2
x-steps,2
x-v,2
x1 index,2
x5,2
"x:29\/;,",2
x\/y,2
x_offset,2
x_plataforma,2
x_vel,2
xaxis,2
xclone,2
xdead,2
xdifference,2
xend,2
xgoal,2
xkey,2
xleft,2
xlist,2
xoff,2
xorigins,2
xp level,2
xp points,2
xplane,2
xpos3,2
xpositie,2
xpositions,2
xray,2
xright,2
xronos,2
xsave,2
xspacing,2
xv pacman,2
xvar,2
xvelocity ok,2
xxxxx,2
xxxxxxxxx,2
xy move,2
xysave,2
y - velocity,2
y add on,2
y axis,2
y center,2
y edit,2
y edit vel,2
y for gasterblaster velocity,2
y location,2
y min,2
y p1,2
y p2,2
y pos b4,2
y prendkosc,2
y speed limit,2
y spot,2
y target,2
y thing,2
y vel ball 3.4,2
y vel ball 8,2
y vel ball3,2
y vel ball4,2
y velocidad,2
y- velocity,2
y-acceleration,2
y-cord,2
y-points,2
y-position,2
y-positions,2
y-v,2
y-velocity2,2
y-volocity 2,2
y1 index,2
y4,2
y:,2
y=velocity,2
y_plataforma,2
y_stars,2
yblast,2
ycounter,2
ydelta,2
ydiff,2
ydown,2
yea,2
yelling?,2
yellow fact,2
yellow score,2
yellow to white,2
yellowfireactive,2
yellowmarkcount,2
yellowxposition,2
yend,2
yer,2
yine,2
ylist,2
yloc,2
ymin,2
ymotion,2
yoffset,2
yoshi,2
you train your lil' doggie?,2
you win,2
your best time,2
your blocks,2
your level,2
your levels,2
your location,2
your picks!,2
your prediction,2
your score is,2
your score is:,2
your score was,2
your touchdowns,2
your turn,2
youre speed,2
yourhp,2
youtube copies,2
yplane,2
ypostion,2
yr,2
yspacing,2
ystep,2
yv pacman,2
yval,2
yvar,2
yveltal hp,2
yyyyy,2
z falling speed,2
z health,2
z??apane,2
z??plama,2
z??ych     odpowiedzi,2
z_combo,2
z_combo_ready,2
za warudo (bosses),2
zap,2
zaplatis na urocich,2
zaps,2
zawodnik 1,2
zawodnik 2,2
zb??v??,2
zbusy,2
zekrom,2
zgadywanie,2
zindex,2
zivoty,2
zm??na barvy,2
zom1,2
zom3,2
zombie hits,2
zombie hunger,2
zombie life,2
zombie spawn rate,2
zombie walking costume,2
zombie1 health,2
zombie2 health,2
zombie3 health,2
zombie4 health,2
zombies alive,2
zombies defeated,2
zomboss hp,2
zookeepers (left),2
zoom+?,2
zooooooom,2
zrotate,2
zustand,2
zweiaufgedeckt,2
zycie,2
zycie twoje,2
{ game mode },2
|frametimenext,2
|v|>0,2
|w|>0,2
~bfinfo: butstate,2
~bfinfo: newbutid,2
~bfset: butmsgid,2
~bfset: newbutcostume,2
~bfset: newbutdirn,2
~bfset: newbutposx,2
~bfset: newbutposy,2
~bfset: newbutsize,2
~bfset: newbutsnd-clicked,2
~bfset: newbutsnd-pressed,2
~music,2
~part~,2
life,2
 health ,1
 red pikmin,1
!!,1
!'s,1
!2,1
!?????? ??????????,1
!boss!,1
!clim1,1
!clim2,1
!cncurrentsite,1
!cni,1
!det1,1
!det2,1
!det3,1
!fclloadeditems,1
!flip,1
!fps,1
!ghost,1
!hitcount,1
!hittime,1
!i,1
!m4,1
!misscount,1
!p90,1
!pop1,1
!pop2,1
!pop3,1
!turretangle,1
#  of hits,1
# (2),1
# (3),1
# allweb,1
# attempts,1
# bacon used,1
# box?,1
# challenge,1
# clones,1
# code,1
# collector,1
# comment,1
# count,1
# de c??t??s,1
# dummies,1
# eaten,1
# enemies,1
# flag,1
# legioensleden,1
# lj,1
# ln,1
# lost,1
# music,1
# of aliens,1
# of answer,1
# of arrows,1
# of battle droids,1
# of classes,1
# of clicks 2,1
# of clicks 3,1
# of clicks 4,1
# of clicks 5,1
# of clicks 6,1
# of clicks 7,1
# of clone commanders,1
# of clonetroopers,1
# of comparisons,1
# of deaths,1
# of deaths (p1),1
# of deaths (p2),1
# of donuts,1
# of e.t. factories,1
# of e.t. fans,1
# of e.t. markets,1
# of e.t. phone home devices,1
# of e.t. speeches,1
# of e.t. translation devices,1
# of eds,1
# of enemies,1
# of fish,1
# of guesses available,1
# of hits lion,1
# of hits lioness,1
# of hits orange,1
# of hits purple,1
# of hits:,1
# of keys being pressed,1
# of letters,1
# of lives,1
# of losses,1
# of magnaguards,1
# of men,1
# of nose jobs,1
# of notes,1
# of obsticals,1
# of outsiders,1
# of people served,1
# of police-ailen shows,1
# of questions,1
# of questions left,1
# of questions right,1
# of questions wrong,1
# of reviewers,1
# of score,1
# of shards,1
# of shockers,1
# of sith,1
# of spaceships,1
# of steps,1
# of tanks shot,1
# of teams,1
# of timer,1
# of times won,1
# of treasure,1
# of troops,1
# of ur-anuses,1
# page,1
# pancake used,1
# power pellet,1
# scriptorder,1
# soldaten,1
# spear?,1
# steps,1
# trafie??,1
# wrong,1
#!,1
##!dir,1
######,1
#######,1
########,1
##########,1
#####speed,1
##touchingmousepointer,1
#'s,1
#1 butterflies,1
#10,1
#10 bird cat,1
#10 the face [boss],1
#11,1
#11 shy boy,1
#12 mooth,1
#13 posessed cat,1
#14 cat!?,1
#15 bun bun,1
#15 bun bun [boss],1
#16 cyclone,1
#17 cosmic cyclone,1
#18 unfinished,1
#19go,1
#2 butterflies,1
#2 snache,1
#3 hippoe,1
#4 spear cat,1
#4 teacher bear,1
#41 general meow,1
#42 snow cat,1
#43 fat cat,1
#5 dark doge,1
#5 spring cat,1
#6 gory,1
#6 pistol cat,1
#7 black cat,1
#7 doge wizard,1
#8 assasian bear,1
#8 lazer gun cat,1
#9 bomb cat,1
#9 doge ship,1
#active,1
#airmax,1
#backdrop,1
#background,1
#backpackmax,1
#bal,1
#bdrop,1
#bears,1
#block tags,1
#blocks,1
#bricks,1
#cache,1
#ch ca p=1,1
#ch ca p=2,1
#ch cafe,1
#ch park,1
#change,1
#char,1
#char #,1
#clone no,1
#closest script,1
#closest script dist,1
#const: char set,1
#const: default sprite,1
#const: header size,1
#const: scroll area,1
#const: scroll width,1
#corrects,1
#daboss,1
#data.waterdrops,1
#dd,1
#define_objects,1
#defondo,1
#delay,1
#despawn_zone,1
#distance,1
#doc scroll,1
#door,1
#emrals_got,1
#ex 1,1
#explain,1
#feet traveled,1
#finishes,1
#fireballskoed,1
#fish,1
#force lower case,1
#force upper case,1
#gravity,1
#iil,1
#incorrects,1
#item,1
#jeb,1
#jobb,1
#jokes,1
#jumps,1
#list position,1
#loaded-cache,1
#max y,1
#menu_road_y,1
#mines,1
#missile_hit_distance,1
#mod,1
#mouse handled,1
#movements,1
#multiline,1
#music.volume,1
#myuls_runned,1
#n 1,1
#n 2,1
#n2o2,1
#no,1
#no2,1
#oclicks,1
#od,1
#of answer,1
#of hits2,1
#of times clicked,1
#ofarcher,1
#ofbarbarian,1
#ofbars,1
#ofdamges,1
#ofenemies,1
#offruithit,1
#oflevels,1
#ofplayers,1
#ofsources,1
#ofteams,1
#oftimes,1
#ofzombies,1
#old fajita high,1
#old fajita score,1
